num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.01,10,0.169696857,0.830303143
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.01,10,0.169921294,0.830078706
14,14,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,9,144,1,10,0.169932681,0.830067319
14,14,3,3,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.01,10,0.16994505,0.83005495
14,14,3,3,50,0.2,100,3,48,0.7,0.7,0.7,0.7,7,112,0.01,10,0.170187861,0.829812139
10,10,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,9,144,0.1,10,0.170195842,0.829804158
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.01,10,0.170261084,0.829738916
14,14,3,3,50,0.2,100,3,48,0.5,0.5,0.9,0.9,3,48,0.01,10,0.170418276,0.829581724
14,14,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,3,48,1,10,0.170457282,0.829542718
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,3,48,0.01,10,0.170473725,0.829526275
10,10,5,5,100,0.1,200,1,16,0.5,0.5,0.9,0.9,3,48,0.01,10,0.170493226,0.829506774
14,14,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,0.1,10,0.170599825,0.829400175
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,3,48,0.01,10,0.170694423,0.829305577
10,10,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,3,48,0.01,10,0.170787353,0.829212647
14,14,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,5,80,1,10,0.171037494,0.828962506
10,10,5,5,50,0.2,100,3,48,0.7,0.7,0.7,0.7,7,112,1,10,0.171063012,0.828936988
14,14,3,3,50,0.2,100,3,48,0.9,0.9,0.5,0.5,5,80,0.01,10,0.171161319,0.828838681
14,14,3,3,100,0.1,200,1,16,0.5,0.5,0.9,0.9,5,80,1,10,0.171506675,0.828493325
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,0.1,10,0.171821275,0.828178725
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,7,112,1,10,0.171946205,0.828053795
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,9,144,1,10,0.17202206,0.82797794
14,14,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,0.1,10,0.172042096,0.827957904
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,3,48,1,10,0.172163681,0.827836319
14,14,3,3,50,0.2,100,5,80,0.7,0.7,0.7,0.7,9,144,0.01,10,0.172174118,0.827825882
14,14,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,0.01,10,0.172223006,0.827776994
10,10,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,9,144,0.01,10,0.17241695,0.82758305
14,14,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,7,112,0.1,10,0.172420774,0.827579226
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,3,48,1,10,0.172458469,0.827541531
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,3,48,1,10,0.172630445,0.827369555
