max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
9,200,0.1,128,128,20,0.5,0.5,48,0.1,10,0.098205973,0.901794027,1.079576491,0.504037149
7,200,0.1,128,128,20,0.5,0.5,48,0.1,10,0.098205973,0.901794027,1.08069503,0.504037149
7,200,0.1,96,96,15,0.7,0.7,16,1,10,0.098206165,0.901793835,1.071736889,0.504037149
9,100,0.2,32,32,5,0.5,0.5,144,0.1,10,0.098211418,0.901788582,1.11689096,0.504037149
7,200,0.1,64,64,10,0.9,0.9,80,1,10,0.098215154,0.901784846,1.103263766,0.504037149
7,200,0.1,64,64,10,0.7,0.7,16,1,10,0.098215873,0.901784127,1.084843799,0.504037149
5,100,0.2,96,96,15,0.7,0.7,48,0.1,10,0.098243356,0.901756644,1.079607403,0.504037149
5,200,0.1,96,96,15,0.5,0.5,144,0.01,10,0.09825432,0.90174568,1.079634137,0.504037149
9,200,0.1,32,32,5,0.7,0.7,144,1,10,0.098254422,0.901745578,1.13756838,0.504037149
9,200,0.1,96,96,15,0.7,0.7,144,0.01,10,0.098292458,0.901707542,1.087214256,0.504037149
7,100,0.2,32,32,5,0.5,0.5,48,0.1,10,0.098323477,0.901676523,1.118351428,0.504037149
5,100,0.2,64,64,10,0.5,0.5,112,0.01,10,0.098347216,0.901652784,1.08534553,0.504037149
7,200,0.1,96,96,15,0.5,0.5,112,0.01,10,0.098354216,0.901645784,1.080770289,0.504037149
7,200,0.1,64,64,10,0.5,0.5,16,0.01,10,0.098380818,0.901619182,1.087196745,0.504037149
7,200,0.1,64,64,10,0.7,0.7,16,0.01,10,0.098410711,0.901589289,1.088506487,0.504037149
5,200,0.1,64,64,10,0.5,0.5,144,0.01,10,0.098415578,0.901584422,1.086670357,0.504037149
5,200,0.1,96,96,15,0.5,0.5,144,1,10,0.098420333,0.901579667,1.076585526,0.504037149
5,100,0.2,96,96,15,0.7,0.7,48,1,10,0.098486151,0.901513849,1.076993193,0.504037149
9,200,0.1,32,32,5,0.7,0.7,80,0.1,10,0.098498899,0.901501101,1.123853588,0.504037149
9,100,0.2,32,32,5,0.7,0.7,80,0.01,10,0.098514632,0.901485368,1.132213126,0.504037149
