max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
9,64,64,100,0.2,l2,0.9,0.9,5,80,0.1,1,10,0.106330337,0.893669663,1.10225627,0.506313556
9,64,64,200,0.1,l2,0.9,0.9,1,16,0.1,1,10,0.106356323,0.893643677,1.097204893,0.506313556
9,64,64,200,0.1,l2,0.5,0.5,5,80,1,10,10,0.106365774,0.893634226,1.095462776,0.506254776
9,64,64,200,0.1,l1,0.5,0.5,3,48,0.1,1,10,0.106384916,0.893615084,1.104516351,0.513925627
9,64,64,100,0.2,l2,0.7,0.7,3,48,0.1,1,10,0.106529022,0.893470978,1.103882297,0.506313556
7,32,32,100,0.2,l1,0.5,0.5,1,16,1,10,10,0.106529801,0.893470199,1.077954796,0.507590696
9,64,64,200,0.1,l2,0.9,0.9,3,48,0.1,1,10,0.106615674,0.893384326,1.109401125,0.506313556
7,32,32,100,0.2,l2,0.7,0.7,5,80,0.01,0.1,10,0.106623728,0.893376272,1.072942519,0.50672502
7,32,32,100,0.2,l2,0.5,0.5,1,16,1,10,10,0.106630049,0.893369951,1.077954796,0.506254776
7,32,32,100,0.2,l2,0.7,0.7,9,144,0.1,1,10,0.106659764,0.893340236,1.071231955,0.506313556
9,64,64,200,0.1,l2,0.7,0.7,3,48,0.01,0.1,10,0.106703347,0.893296653,1.097357851,0.50672502
7,32,32,200,0.1,l1,0.7,0.7,3,48,0.1,1,10,0.106717424,0.893282576,1.077707586,0.513925627
7,32,32,100,0.2,l1,0.5,0.5,1,16,0.01,0.1,10,0.10674977,0.89325023,1.078526694,0.5
9,64,64,200,0.1,l1,0.9,0.9,3,48,1,10,10,0.10679155,0.89320845,1.099810016,0.507590696
7,32,32,200,0.1,l1,0.9,0.9,5,80,0.1,1,10,0.106792959,0.893207041,1.07696774,0.513925627
9,64,64,100,0.2,l1,0.5,0.5,5,80,1,10,10,0.106804308,0.893195692,1.096384987,0.507590696
